scenario,model_name,run_id,mlflow_model_uri,cv_best_score,best_params,threshold,test_accuracy_threshold,test_precision_churned_threshold,test_recall_churned_threshold,test_f1_churned_threshold
after_preprocessing,Logistic_Regression,6a5a5bb935224164a499c0c95292d6f5,runs:/6a5a5bb935224164a499c0c95292d6f5/model_file,0.5983824570271213,"{""model__C"": ""0.1"", ""model__class_weight"": ""balanced"", ""sampler"": ""passthrough""}",0.5,0.7162,0.5061845861084682,0.7363321799307958,0.5999436143219622
after_preprocessing,Logistic_Regression,6a5a5bb935224164a499c0c95292d6f5,runs:/6a5a5bb935224164a499c0c95292d6f5/model_file,0.5983824570271213,"{""model__C"": ""0.1"", ""model__class_weight"": ""balanced"", ""sampler"": ""passthrough""}",0.35,0.604,0.41323386312033733,0.8816608996539792,0.5627208480565371
after_preprocessing,Random_Forest,ee6792237a1f4d45949cbf01223469a7,runs:/ee6792237a1f4d45949cbf01223469a7/model_file,0.8351820638361428,"{""model__class_weight"": ""None"", ""model__max_depth"": ""None"", ""model__n_estimators"": ""200"", ""sampler"": ""passthrough""}",0.5,0.9125,0.917184265010352,0.7664359861591695,0.8350612629594723
after_preprocessing,Random_Forest,ee6792237a1f4d45949cbf01223469a7,runs:/ee6792237a1f4d45949cbf01223469a7/model_file,0.8351820638361428,"{""model__class_weight"": ""None"", ""model__max_depth"": ""None"", ""model__n_estimators"": ""200"", ""sampler"": ""passthrough""}",0.35,0.895,0.7956298200514139,0.8567474048442907,0.8250583138953682
after_preprocessing,Naive_Bayes,0d1410addf904082918c098ae9e5916f,runs:/0d1410addf904082918c098ae9e5916f/model_file,0.5079196624000094,"{""model__var_smoothing"": ""1e-09"", ""sampler"": ""passthrough""}",0.5,0.6549,0.4320658755146525,0.6173010380622838,0.5083345205869783
after_preprocessing,Naive_Bayes,0d1410addf904082918c098ae9e5916f,runs:/0d1410addf904082918c098ae9e5916f/model_file,0.5079196624000094,"{""model__var_smoothing"": ""1e-09"", ""sampler"": ""passthrough""}",0.35,0.6252,0.40730337078651685,0.6522491349480969,0.5014631550944401
after_preprocessing,KNN,9409de6b660341d7b40bb3b9158091f1,runs:/9409de6b660341d7b40bb3b9158091f1/model_file,0.6237856822386308,"{""model__n_neighbors"": ""11"", ""model__weights"": ""uniform"", ""sampler"": ""SMOTE(random_state=42)""}",0.5,0.7023,0.49111701041453953,0.8321799307958477,0.6176961602671118
after_preprocessing,KNN,9409de6b660341d7b40bb3b9158091f1,runs:/9409de6b660341d7b40bb3b9158091f1/model_file,0.6237856822386308,"{""model__n_neighbors"": ""11"", ""model__weights"": ""uniform"", ""sampler"": ""SMOTE(random_state=42)""}",0.35,0.5705,0.3957869752262276,0.9231833910034603,0.5540442321669609
after_preprocessing,Decision_Tree,45fc2227ded04b38b2183cfcbc4908dd,runs:/45fc2227ded04b38b2183cfcbc4908dd/model_file,0.7881199907050436,"{""model__class_weight"": ""None"", ""model__max_depth"": ""10"", ""model__min_samples_split"": ""2"", ""sampler"": ""passthrough""}",0.5,0.8866,0.8486894360603654,0.7394463667820069,0.790310650887574
after_preprocessing,Decision_Tree,45fc2227ded04b38b2183cfcbc4908dd,runs:/45fc2227ded04b38b2183cfcbc4908dd/model_file,0.7881199907050436,"{""model__class_weight"": ""None"", ""model__max_depth"": ""10"", ""model__min_samples_split"": ""2"", ""sampler"": ""passthrough""}",0.35,0.8825,0.8135283363802559,0.7698961937716263,0.7911111111111111
after_preprocessing_feature_selection,Logistic_Regression,b6a1195b9391439c9b85114575fdd2b4,runs:/b6a1195b9391439c9b85114575fdd2b4/model_file,0.598623875867843,"{""model__C"": ""1.0"", ""model__class_weight"": ""balanced"", ""sampler"": ""passthrough""}",0.5,0.7175,0.5077362532730302,0.7380622837370242,0.6016076716965167
after_preprocessing_feature_selection,Logistic_Regression,b6a1195b9391439c9b85114575fdd2b4,runs:/b6a1195b9391439c9b85114575fdd2b4/model_file,0.598623875867843,"{""model__C"": ""1.0"", ""model__class_weight"": ""balanced"", ""sampler"": ""passthrough""}",0.35,0.6015,0.41122101508026593,0.8775086505190312,0.5600088329468919
after_preprocessing_feature_selection,Random_Forest,4600a2ebd65e49aca36840305f997d49,runs:/4600a2ebd65e49aca36840305f997d49/model_file,0.8423081605885707,"{""model__class_weight"": ""None"", ""model__max_depth"": ""20"", ""model__n_estimators"": ""200"", ""sampler"": ""passthrough""}",0.5,0.9164,0.915453074433657,0.7830449826989619,0.8440880268556509
after_preprocessing_feature_selection,Random_Forest,4600a2ebd65e49aca36840305f997d49,runs:/4600a2ebd65e49aca36840305f997d49/model_file,0.8423081605885707,"{""model__class_weight"": ""None"", ""model__max_depth"": ""20"", ""model__n_estimators"": ""200"", ""sampler"": ""passthrough""}",0.35,0.9022,0.814266929651545,0.8570934256055364,0.8351314902225219
after_preprocessing_feature_selection,Naive_Bayes,fba9b042ea154fcd8fdf4032e641eddf,runs:/fba9b042ea154fcd8fdf4032e641eddf/model_file,0.5326079744249663,"{""model__var_smoothing"": ""1e-09"", ""sampler"": ""passthrough""}",0.5,0.6803,0.4621454993834772,0.6484429065743945,0.5396688264938805
after_preprocessing_feature_selection,Naive_Bayes,fba9b042ea154fcd8fdf4032e641eddf,runs:/fba9b042ea154fcd8fdf4032e641eddf/model_file,0.5326079744249663,"{""model__var_smoothing"": ""1e-09"", ""sampler"": ""passthrough""}",0.35,0.649,0.43174812857771905,0.6785467128027681,0.5277179763186222
after_preprocessing_feature_selection,KNN,7367869761c642e7b875ca1f9e7f1873,runs:/7367869761c642e7b875ca1f9e7f1873/model_file,0.6624373088323544,"{""model__n_neighbors"": ""11"", ""model__weights"": ""uniform"", ""sampler"": ""SMOTE(random_state=42)""}",0.5,0.7553,0.5529271206690561,0.8006920415224914,0.6541342756183746
after_preprocessing_feature_selection,KNN,7367869761c642e7b875ca1f9e7f1873,runs:/7367869761c642e7b875ca1f9e7f1873/model_file,0.6624373088323544,"{""model__n_neighbors"": ""11"", ""model__weights"": ""uniform"", ""sampler"": ""SMOTE(random_state=42)""}",0.35,0.64,0.43981010512037977,0.8975778546712803,0.5903504779244424
after_preprocessing_feature_selection,Decision_Tree,678422a1138f4604b968e66cfa5a4d5f,runs:/678422a1138f4604b968e66cfa5a4d5f/model_file,0.7892778950228586,"{""model__class_weight"": ""None"", ""model__max_depth"": ""10"", ""model__min_samples_split"": ""2"", ""sampler"": ""SMOTE(random_state=42)""}",0.5,0.8834,0.8118668596237337,0.7764705882352941,0.7937743190661478
after_preprocessing_feature_selection,Decision_Tree,678422a1138f4604b968e66cfa5a4d5f,runs:/678422a1138f4604b968e66cfa5a4d5f/model_file,0.7892778950228586,"{""model__class_weight"": ""None"", ""model__max_depth"": ""10"", ""model__min_samples_split"": ""2"", ""sampler"": ""SMOTE(random_state=42)""}",0.35,0.8755,0.7760993622020812,0.8,0.7878684614073947
